Num_repo	MAE	RMSE	max rt	Relative MAE (%)	Relative RMSE (%)
0120	150.9	216.8	1624.2	9.29	13.35
0121	126.2	176.2	1344.6	9.38	13.11
0122	201.1	248.1	1360.8	14.78	18.24
0123	293.2	293.2	1724.4	17.01	17.01
0124	69.56	103.25	1498.8	4.64	6.89
0125	63.9	116.8	1354.8	4.72	8.62
0126	97.8	144.5	1552.8	6.3	9.3
0127	108.4	159.1	1481.4	7.32	10.74
0128	160.1	249.2	1522.8	10.52	16.37
0129	101.1	148.1	1597.8	6.33	9.27
0130	116.75	249.2	1898.4	6.15	13.13
0131	43.16	81.7	1593.6	2.71	5.13
0132	347.8	477.0	2229.6	15.6	21.4
0133	95.8	119.9	1507.8	6.36	7.95
0134	256.0	366.0	1462.8	17.5	25.03
0135	106.2	155.5	1375.8	7.72	11.3
0136	139.8	219.8	1175.4	11.89	18.69
0137	233.1	283.5	1724.4	13.52	16.44
0138	159.4	221.4	2322.6	6.86	9.53
0139	229.5	310.5	1496.4	15.33	20.75
0140	159.8	230.8	1537.2	10.39	15.01
0141	185.4	228.6	1591.8	11.65	14.36
0142	151.8	192.5	1417.2	10.71	13.58
0143	226.5	351.2	1479.6	15.31	23.75
0144	141.9	205.0	1667.4	8.51	12.29
0145	200.5	247.1	1423.2	14.09	17.37
0146	184.9	224.4	1628.4	11.35	13.78
0147	122.75	189.9	1722.6	7.12	11.03
0148	139.6	250.4	1629.0	8.57	15.37
0149	83.6	110.8	1725.0	4.85	6.42
0150	92.56	147.8	2029.8	4.56	7.28
0151	141.6	189.6	1397.4	10.13	13.57
0152	103.0	150.2	1375.2	7.49	10.92
0153	127.06	146.0	1555.8	8.17	9.38
0154	94.5	119.6	1317.0	7.17	9.08
0155	169.9	180.4	1344.6	12.64	13.41
0156	214.1	367.8	1524.0	14.05	24.13
0157	132.8	147.4	1298.4	10.22	11.35
0158	568.5	695.0	1717.8	33.1	inf
0159	157.9	250.6	2117.4	7.45	11.83
0160	228.5	252.8	923.4	24.74	27.38
0161	178.6	221.6	1005.6	17.76	22.04
0162	83.2	130.0	1001.4	8.31	12.98
0163	310.0	315.0	1033.2	30.01	30.49
0164	106.0	153.1	915.0	11.58	16.73
0165	90.0	111.7	1008.6	8.92	11.07
0166	192.5	262.8	1018.2	18.9	25.8
0167	272.8	311.8	906.0	30.11	34.4
0168	281.5	286.8	786.0	35.81	36.48
0169	87.25	155.1	1024.2	8.52	15.15
0170	86.4	148.4	882.6	9.79	16.81
0171	267.0	314.5	913.2	29.24	34.45
0172	280.5	329.8	1006.8	27.86	32.74
0173	163.1	202.5	1196.4	13.63	16.93
0174	77.3	112.25	978.0	7.91	11.48
0175	92.0	97.75	984.6	9.34	9.93
0176	57.0	66.56	924.6	6.16	7.2
0177	121.8	202.1	952.2	12.8	21.22
0178	239.6	264.8	937.2	25.57	28.25
0179	32.28	51.28	914.4	3.53	5.61
0180	27.4	42.16	768.0	3.57	5.49
0181	46.88	57.97	921.6	5.09	6.29
0182	55.56	65.9	999.6	5.56	6.59
0183	74.94	97.44	865.2	8.66	11.26
0184	137.6	201.8	889.8	15.46	22.67
0185	34.88	55.2	690.0	5.06	8.0
0186	48.56	84.3	1471.7	3.3	5.73
0187	29.1	41.44	1068.2	2.72	3.88
0188	33.78	55.6	1125.0	3.0	4.94
0189	35.2	64.3	1139.8	3.09	5.64
0190	34.75	45.75	1146.4	3.03	3.99
0191	42.75	66.9	1120.6	3.82	5.97
0192	24.83	35.22	1167.6	2.13	3.02
0193	43.72	59.28	1041.6	4.2	5.69
0194	33.0	48.97	1095.8	3.01	4.47
0195	30.05	45.56	1045.2	2.87	4.36
0196	31.73	50.88	1072.0	2.96	4.75
0197	44.28	80.7	1092.4	4.05	7.39
0198	43.53	74.8	1070.8	4.06	6.99
0199	39.62	62.97	1089.4	3.64	5.78
0200	26.36	39.62	1064.2	2.48	3.72
0201	27.28	34.12	1325.6	2.06	2.57
0202	24.81	40.56	1056.2	2.35	3.84
0203	27.7	52.2	1078.4	2.57	4.84
0204	43.72	61.22	1050.6	4.16	5.83
0208	79.1	154.2	1240.56	6.38	12.43
0209	68.5	101.8	1267.4	5.4	8.04
0210	91.4	115.1	1410.6	6.48	8.16
0211	123.06	141.8	842.64	14.6	16.82
0212	63.25	85.94	784.02	8.07	10.96
0213	64.75	85.7	842.64	7.69	10.17
0215	210.4	225.0	776.1	27.11	28.99
0216	24.89	40.78	769.62	3.24	5.3
0217	40.97	62.9	795.18	5.15	7.91
0218	54.9	77.9	616.59	8.91	12.63
0219	56.44	71.2	624.0	9.04	11.41
0220	103.06	131.1	842.64	12.23	15.56
0221	112.3	130.9	842.64	13.33	15.53
0223	120.7	150.1	842.64	14.33	17.82
0224	160.2	188.5	757.08	21.17	24.9
0225	69.9	105.6	616.8	11.33	17.12
0226	232.1	289.2	1493.22	15.55	19.37
0227	30.7	49.9	750.0	4.09	6.66
0228	49.72	72.5	616.8	8.06	11.75
0229	92.25	103.7	1216.8	7.58	8.52
0231	21.55	40.34	381.01	5.65	10.59
0232	111.94	157.9	563.4	19.87	28.02
0233	138.6	169.2	555.48	24.96	30.47
0234	29.92	34.5	654.0	4.57	5.28
0235	14.87	18.5	652.8	2.28	2.83
0236	29.7	37.03	524.46	5.66	7.06
0237	23.75	34.22	575.28	4.13	5.95
0238	31.66	38.22	589.2	5.37	6.49
0239	22.78	29.75	469.8	4.85	6.33
0240	36.47	48.0	540.96	6.74	8.87
0241	35.88	46.12	455.52	7.88	10.12
0242	40.94	53.38	585.78	6.99	9.11
0243	23.55	31.86	472.5	4.98	6.74
0244	39.47	51.66	548.28	7.2	9.42
0245	32.72	42.12	572.1	5.72	7.36
0246	31.28	47.4	509.94	6.13	9.3
0247	33.3	43.94	490.26	6.8	8.96
0248	29.19	36.97	568.44	5.13	6.5
0249	24.5	35.8	494.76	4.95	7.24
0250	33.25	45.16	508.92	6.53	8.87
0251	26.08	34.94	527.88	4.94	6.62
0252	34.94	58.38	589.56	5.93	9.9
0253	38.38	51.62	480.78	7.98	10.74
0254	31.64	39.66	510.6	6.2	7.77
0256	33.3	45.56	594.12	5.61	7.67
0257	42.8	51.75	431.76	9.91	11.99
0258	35.2	43.44	512.52	6.86	8.48
0259	30.9	40.78	463.68	6.66	8.79
0260	42.16	64.1	898.8	4.69	7.13
0261	135.8	150.1	972.6	13.96	15.44
0262	94.2	137.2	1304.19	7.22	10.53
0263	55.62	74.5	1285.79	4.33	5.79
0264	16.1	22.36	418.36	3.85	5.34
0265	76.25	85.5	670.2	11.38	12.76
0266	193.6	251.6	1102.29	17.56	22.83
0267	175.4	264.2	1162.56	15.08	22.74
0268	116.06	154.0	1080.9	10.74	14.25
0269	118.56	158.2	1216.8	9.74	13.0
0270	138.2	192.8	1094.4	12.63	17.62
0271	111.4	151.9	1156.2	9.63	13.13
0272	117.2	161.9	1022.7	11.46	15.82
0273	86.2	121.3	1131.6	7.61	10.72
0274	186.6	228.0	1135.2	16.43	20.08
0275	178.1	224.2	1260.24	14.13	17.8
0276	185.5	219.0	1109.88	16.71	19.74
0277	181.4	241.8	1242.84	14.6	19.45
0278	131.2	172.0	1110.36	11.82	15.49
0279	98.5	131.5	1158.36	8.5	11.35
0280	227.5	253.6	1107.36	20.55	22.9
0281	150.1	222.0	1152.72	13.03	19.27
0282	138.9	166.1	471.09	29.48	35.25
0283	31.06	38.7	247.71	12.54	15.62
0284	204.5	260.8	1102.08	18.55	23.66
0285	136.5	176.8	1218.24	11.2	14.51
0286	149.2	185.8	1116.24	13.37	16.64
0287	125.75	160.4	1231.8	10.21	13.02
0288	50.94	83.0	1180.2	4.31	7.04
0289	208.0	263.0	1187.04	17.52	22.16
0290	77.3	97.0	1014.12	7.62	9.56
0291	184.1	222.9	1103.4	16.69	20.2
0292	136.4	164.8	1040.64	13.11	15.84
0293	281.2	348.2	1158.6	24.28	30.05
0294	111.8	129.6	1022.28	10.94	12.68
0295	29.86	47.34	1155.6	2.58	4.1
0310	65.94	72.1	395.82	16.65	18.22
0311	25.83	37.4	577.68	4.47	6.47
0312	35.53	44.34	453.36	7.84	9.78
0313	23.08	34.34	521.94	4.42	6.58
0314	26.02	34.7	438.0	5.94	7.92
0315	25.28	33.1	490.98	5.15	6.74
0316	35.0	49.12	453.6	7.72	10.83
0317	15.19	19.95	527.58	2.88	3.78
0318	29.42	39.56	544.38	5.4	7.27
0319	33.94	43.66	541.32	6.27	8.06
0320	35.22	55.28	520.08	6.77	10.63
0321	26.94	34.84	518.82	5.19	6.72
0322	31.94	41.0	500.22	6.39	8.2
0323	35.2	45.8	538.38	6.53	8.51
0324	22.1	31.7	562.14	3.93	5.64
0326	18.67	25.88	386.82	4.83	6.69
0327	22.75	29.66	397.74	5.72	7.46
0328	23.94	33.94	403.2	5.94	8.42
0329	21.23	29.25	390.24	5.44	7.49
0330	24.39	30.95	398.46	6.12	7.77
0331	27.22	35.66	386.22	7.05	9.23
0332	24.53	34.06	403.32	6.08	8.44
0333	26.19	41.12	377.46	6.94	10.89
0334	24.95	33.47	446.7	5.59	7.49
