epoch,step,train_loss_epoch,train_loss_step,val/mae,val/rmse,val_loss
0,49,,0.5872099995613098,,,
0,99,,0.6374374628067017,,,
0,149,,0.36472442746162415,,,
0,199,,0.33551549911499023,,,
0,249,,0.31816571950912476,,,
0,299,,0.3724420666694641,,,
0,349,,0.28027215600013733,,,
0,399,,0.38176655769348145,,,
0,449,,0.2592833638191223,,,
0,499,,0.3405650854110718,,,
0,549,,0.44597554206848145,,,
0,599,,0.3134620785713196,,,
0,649,,0.4138314425945282,,,
0,699,,0.3711843490600586,,,
0,749,,0.23801438510417938,,,
0,799,,0.2508569657802582,,,
0,849,,0.1838798075914383,,,
0,899,,0.2041054517030716,,,
0,949,,0.3624964654445648,,,
0,999,,0.2744160592556,,,
0,1000,,,0.4186074435710907,0.586307168006897,0.3437561094760895
0,1000,0.3713328242301941,,,,
1,1049,,0.22532251477241516,,,
1,1099,,0.20167627930641174,,,
1,1149,,0.3986590504646301,,,
1,1199,,0.23661766946315765,,,
1,1249,,0.2601289749145508,,,
1,1299,,0.26668453216552734,,,
1,1349,,0.27516278624534607,,,
1,1399,,0.21090534329414368,,,
1,1449,,0.22617438435554504,,,
1,1499,,0.22421610355377197,,,
1,1549,,0.3415810465812683,,,
1,1599,,0.1290358453989029,,,
1,1649,,0.2768234312534332,,,
1,1699,,0.38633865118026733,,,
1,1749,,0.4259677529335022,,,
1,1799,,0.30754750967025757,,,
1,1849,,0.26320216059684753,,,
1,1899,,0.20993834733963013,,,
1,1949,,0.23925359547138214,,,
1,1999,,0.3328069746494293,,,
1,2001,,,0.31923937797546387,0.48220333456993103,0.23252005875110626
1,2001,0.26619628071784973,,,,
2,2049,,0.3120999336242676,,,
2,2099,,0.14683641493320465,,,
2,2149,,0.15140758454799652,,,
2,2199,,0.21563100814819336,,,
2,2249,,0.3436979353427887,,,
2,2299,,0.25059762597084045,,,
2,2349,,0.14392989873886108,,,
2,2399,,0.4160027801990509,,,
2,2449,,0.3219727575778961,,,
2,2499,,0.23333455622196198,,,
